name,placeId,taking_students,notes
360 Wellness Spruce Grove,ChIJix3_5liOn1MRAKhSOKU9rjc,,
4 Elements Wellness Clinic,ChIJv5P23q2HblMRUNCGWFtqZII,,
"78 Elma St W, Okotoks, AB",ChIJU_9WnRqZcVMR3OSnXddJU1Q,,
"80 Acres Counselling, Mediation & Consulting",ChIJ6_eQo6d5ClMRw2o8ueB8Wgs,,
A Better Life Consulting & Counselling,ChIJfVErt1MsE1MRJtS8g0du-B0,,
A Lily Among Thorns Lymphatic & Massage Therapy,ChIJSwgoQI-Rn1MRABrPzOC6k-U,,
A Space to Flourish Psychology,ChIJq6q6DtoXoFMRY4cTjCgsW1o,,
A Thread of Clarity Inc.,ChIJScGmfcshoFMRe28RKytWg4w,,
Able Therapy,ChIJ7Unu3LT2C2cR2GxM2u9kzrA,,
Abraham Counselling Therapy,ChIJAQAwzOtVdFMR08eevJlaO9k,,
Abundant Life Counselling,ChIJ____o7FAcVMRY6nOyto39rY,,
Abundant Life Counselling Services,ChIJS1a9aHCJn1MRiEDRY535P-8,,
Accel Physical Therapy & Massage - Millennium Drive,ChIJl4OmFQ4JsFMRhuSYRQVLNBY,,
Accel Physical Therapy & Massage - Syncrude Sport and Wellness Centre,ChIJ-78pRYQFsFMRiRud3ztqxFg,,
Acceleration Physiotherapy,ChIJ4QGiYjY9oFMRhcvv_UR080E,,
Access Chiropractic and Wellness,ChIJKZqYTFlfcVMRJaJbg2HKYFI,,
Access Counselling,ChIJ1Y94u9oIsFMRw7n_yCjCbp0,,
Achieve Health and Wellness,ChIJhTkIsumIblMRfHOFBSht5Pw,,
Achieve Psychological Services,ChIJUSeeQguRkFMRLlkgOqe5_to,,
Achieve Wellness Spa,ChIJkXCfZzwJsFMRr46K8dmE5g0,,
Active Balance Health Centre,ChIJW2UZI82ZcVMRn5GktzHys38,,
Active Physio Works,ChIJZ_jQkyokoFMRA2IjeFEgAl0,,
Active Physio Works - St. Albert Servus Place,ChIJ-f4b3aQloFMRdAmclJStZmc,,
Active Recovery Therapy Massage Clinic,ChIJ_TGfsFD5n1MRnRgvFSDISe4,,
Actual Relief Massage,ChIJEe62lL2ZcVMR59_8qzroNsE,,
Actualize Psychological Services - St. Albert,ChIJOYBOZXMnoFMR07nOQKa11M4,,
Addiction & Mental Health Services - Alberta Health Services,ChIJS03bU4aXcVMR0nUa9DqQprk,,
Addiction And Mental Health Adult Outreach Services,ChIJ-0BfHu8sE1MRaVx43mIkJU8,,
Addiction Mental Health Community,ChIJi0KIglcsE1MRf04UWpyNXfc,,
Adriel Family Therapy Centre,ChIJFRLmtCVUdFMR6_X6cGwvLus,,
Advance Occupational Therapy Service,ChIJb58he1AtE1MRBRJHlsRHiEs,,
Advanced Counceling & Consulting Practice,ChIJyWXw7bQIsFMRDik4znnF9oQ,,
Advanced Counselling,ChIJ7YUXAaQtE1MRRlTJwb2iJp4,,
Advanced Psychology Institute (API Canada),ChIJZ208PksZoFMRWSA4XpieNFc,,
Advanced Therapeutic Counselling,ChIJXfTtYW5fcVMRB0-qJBMNUxM,,
ADZ Psychology & Wellness Clinic,ChIJ3YeFWm35n1MRMBs89LByC28,,
Affix Therapy,ChIJa_vPrOT5n1MRoYpcT4ouD4s,,
Affordable Child and Family Therapy,ChIJex0OPeqJToYRwUeo-6o4eaM,,
Ahave Massage Spa Lethbridge,ChIJpSLkPKHTqoQRHQzNtXTVmzQ,,
AIKYA Complete Wellness,ChIJW7dM1KK7ClMR172QvbXZ0SU,,
Aira Spa & Wellness Centre,ChIJ8UDl6G5fcVMRmERVgJSEMsw,,
Airdrie - Alberta Supports Centre,ChIJJ-0L0ElfcVMR9EqY1BVqGzs,,
Airdrie Addiction & Mental Health Clinic,ChIJD0jpOm9fcVMRPguJG6eQRiY,,
Airdrie Children's Services,ChIJm0-efAdfcVMRTT-rABKExSg,,
Airdrie Community Health Centre,ChIJE3Vy8XFfcVMRP0JH5ZhXn50,,
Airdrie Community Health Services,ChIJCxwN8XFfcVMR9RoCvj_M17A,,
Airdrie Counselling Centre,ChIJKbaTCBlfcVMRWHmPRF_Y3HE,,
Airdrie Family Eye Doctors | Optometrist in Airdrie,ChIJ1QUM8XFfcVMRCtleAEcuU8I,,
Airdrie Family Services Society,ChIJ9_2uOW9fcVMRQ0_i99Vqh34,,
Airdrie Family Wellness,ChIJ0UXDvJpfcVMRlsOuhd_8Y6M,,
Airdrie Massage Wellness,ChIJ8YK5cFNfcVMRcyTt9G6nc4s,,
Airdrie Pelvic Floor Physiotherapy,ChIJ1Z47pApfcVMRvTdkAytOGjU,,
Airdrie Performance Massage,ChIJR4HzXJRfcVMRr4NefvEvvwo,,
Airdrie Physiotherapy & Massage,ChIJXcWUHnJfcVMRz59slvRAZy8,,
Alana lasovich hypnotherapy,ChIJYV29Ykz5n1MRE2DC8psWLyA,,
Alberta Balance Centre,ChIJJfq8q8NvcVMRIdCsSUfsiB4,,
Alberta College of Massage Therapy,ChIJzQ2lqc0FsFMRaBo3VoaQIZ4,,
Alberta Counselling Centre,ChIJl0m2NuNwcVMR7Gnb9q7dX4s,,
Alberta Counselling Coop,ChIJUZTS1sLhc1MRJGurjpIllyE,,
Alberta Counselling Coop,ChIJryuMTVIPsFMR1fGYJ21g7EA,,
Alberta Counselling Services,ChIJX9UlqZhlcVMRl9tXEqmu-GY,,
Alberta Family Psychology,ChIJ8RtKnbNvcVMRbIUAMQSjVrI,,
Alberta Health Services,ChIJAdEnvy9UdFMRzFbOzrTnY98,,
Alberta Health Services,ChIJbSVdnW9fcVMRzjzVKIqBpBk,,
Alberta Health Svc,ChIJETmr1YqOn1MR0YX-sguvl8U,,
Alberta Psychsystems,ChIJpQO5iugIsFMRNwReI6N1FEw,,
Alberta Spine and Sport,ChIJH89EnXCXcVMRVsS_T8bUJGQ,,
Alberta Supports - Leduc,ChIJDb4QV035n1MRhxEFXx1-gBc,,
Alberta Therapist,ChIJTY2a2zAloFMRRlpLIJNCITU,,
AlbertaHealthServices,ChIJa8Y_VQD5n1MR4-5ym3KMqDc,,
Alchemic Serendipity,ChIJVzOhmjOPn1MRuq8cF1Nu7qo,,
Align Wellness,ChIJVVVl8Z1AcVMRnO13e03OHCA,,
Aligned Minds,ChIJlYuAiR9wcVMRKQllJdOmE8k,,
Aligned Minds Counseling and Therapy,ChIJuXymYg8joFMRliP3mWypov8,,
Allegro Counselling Inc.,ChIJyVOfga43K4gROes-aTdYTQU,,
Alli MacKenzie Hypnotherapy & Energy Healing,ChIJuU7q96f5n1MRhlTiFWRC7Gw,,
Alta-Sask Wellness - Lloydminster,ChIJV1OF1YmyCVMRzxr4n7bBaQs,,
Altruism Connection - Integrative Counselling & Services,ChIJeZ5fhUktE1MRi58ww3g_hBw,,
Alycol Psychological Health Services,ChIJNS1M1POOn1MR4ZMRvpOAgRk,,
Alysha Gurney Counselling Services,ChIJs0V5toItE1MRNodFkZqCP04,,
Amanda Baird,ChIJ__-_BPgjoFMRbZ-6UT5TF_w,,
Amanda Blaire Wellness,ChIJddYEPnU_cVMRT_NRAS94OV8,,
Amber Chenard Psychological Services,ChIJ6XE_-uyRkFMRPcUS00T99N0,,
Amity’s Body & Mind Therapeutic Massage,ChIJHY99E7mzCVMRPlWB5fsP_1I,,
Ana Schlosser Counselling - Medicine Hat,ChIJOUXcBrYtE1MR6cUVTp2QehY,,
Angel's Healing Therapeutic Massage,ChIJjZ-ASadO0SIR7gf3rv206xA,,
Angela Irvine Consulting (Registered Provisional Psychologist),ChIJRxnRx1AsE1MRo9tME1kMOns,,
Angela Jans Counselling Services,ChIJ-5tNAtKHblMRDUdwzk6G9-o,,
Angelis justus,ChIJrSWUdEIPsFMReJr-PLe_Vi8,,
Anger Management Incorporated (Alberta ARMI),ChIJX-cLlFtfcVMRpiCP6igdbH8,,
Angie Ratcliff Counselling,ChIJB10SWuJvcVMRX1bz96MR2w8,,
Annie’s Therapeutic Massage,ChIJIzBhVw37n1MR3jTZBXIELdA,,
Anxiety Clinic of Central Alberta,ChIJB_sNvslVdFMRadEW9JNemaQ,,
APPLE WELLNESS CENTER,ChIJcXxtW25fcVMRIXR_qhCD-hY,,
Approach Psychology,ChIJ0RXidPMjoFMRwfVyaI3S79c,,
Apsi the Ferrance Group,ChIJY50h_egIsFMR8qP24LCY2LQ,,
